"","Materia","MaxIntNuncaCert","MeanIntNuncaCert","ProbCert1a","ModeIntNuncaCert"
"626","IMPLANTACION DIGITAL DE CONTROLADORES",4,1.47619047619048,0.723404255319149,1
"632","INGENIERIA DE PROTEINAS",4,1.30769230769231,0.838709677419355,1
"634","INGENIERIA DE TRANSPORTE",4,1.16304347826087,0.587378640776699,1
"640","INMUNOLOGIA",4,1.35849056603774,0.338709677419355,1
"662","INTRODUCCION A LA FILOSOFIA",4,1.14769975786925,0.667081518357187,1
"666","INTRODUCCION A LA INGENIERIA DE SOFTWARE",4,1.2536231884058,0.677329624478442,1
"675","INTRODUCCION A LA POLITICA",4,1.42156862745098,0.562277580071174,1
"689","KANT",4,1.30769230769231,0.676767676767677,1
"690","KARL MARX",4,1.15384615384615,0.420289855072464,1
"697","LA CONDICION HUMANA: RELACION SER HUMANO NATURALEZA Y CULTURA",4,1.38551401869159,0.50125313283208,1
"1254.1","LA INVESTIGACION DE LA PRODUCCION LOS DISCURSOS Y LA RECEPCION DE LOS MEDIOS DE COMUNICACION",4,1.3757225433526,0.846648044692737,1
"731","LAS INTERNACIONALES OBRERAS EN LOS SIGLOS XIX Y XX",4,1.42857142857143,0.747252747252747,1
"745","LENGUA EXTRANJERA III",4,2.5,0,1
"751","LENGUAJES DE PROGRAMACION",4,1.35294117647059,0.796680497925311,1
"752","LINEAS DE TRANSMISION",4,1.55555555555556,0.819391634980989,1
"759","LITERATURA GRECOLATINA",4,1.23529411764706,0.76908023483366,1
"761","LITERATURA LATINOAMERICANA DE LOS SIGLOS XIX Y XX",4,1.21008403361345,0.635235732009926,1
"769","LITERATURAS DE LA ANTIGUEDAD (MESOPOTAMIA INDIA CHINA EGIPTO Y CANAAN)",4,1.12244897959184,0.828828828828829,1
"770","LITERATURAS DE VANGUARDIA",4,1.17857142857143,0.792332268370607,1
"784","LOGISTICA",4,1.45714285714286,0.708333333333333,1
"812","MEDIO RADIOFONICO",4,1.17037037037037,0.823392493453593,1
"816","METAFISICA",4,1.24285714285714,0.368852459016393,1
"820","METODOLOGIA DE LA INVESTIGACION",4,1.12315270935961,0.802514792899408,1
"853","MODELADO DE SISTEMAS FISICOS",4,1.36633663366337,0.650193798449612,1
"854","MODELOS DE DEMANDA DEL TRANSPORTE",4,1.21052631578947,0.663299663299663,1
"862","MORFOFISIOLOGIA II",4,1.18604651162791,0.828235294117647,1
"866","NARRATIVA EUROPEA Y NORTEAMERICANA DEL SIGLO XX",4,1.19767441860465,0.682098765432099,1
"867","NARRATIVA MEXICANA CONTEMPORANEA",4,1.23863636363636,0.772727272727273,1
"892","OBLIGACIONES",4,1.28888888888889,0.74346201743462,1
"898","OPTIMIZACION I",4,1.2,0.845161290322581,1
"908","PATOLOGIA I",4,1.23628691983122,0.828571428571429,1
"911","PELIGROS ASOCIADOS A LOS FENOMENOS NATURALES Y ANTROPOGENICOS",4,1.21739130434783,0.834437086092715,1
"1257.1","PERIODISMO DE INVESTIGACION Y PERIODISMO LITERARIO",4,1.17796610169492,0.75,1
"925","PERSONA Y FAMILIA",4,1.2109375,0.737313432835821,1
"929","PLANEACION CON PARTICIPACION EN LA CIUDAD DE MEXICO",4,1.2109375,0.872347165030092,1
"944","POESIA I",4,1.35897435897436,0.818401937046005,1
"945","POESIA II",4,1.2093023255814,0.879478827361563,1
"956","POLITICA SOCIAL Y GESTION DE RIESGOS",4,1.125,0.762589928057554,1
"978","PROBLEMAS CONTEMPORANEOS DE ETICA",4,1.31111111111111,0.676646706586826,1
"999","PROCESOS EN PARTICULAR",4,1.14285714285714,0.856780735107731,1
"1007","PRODUCTO COMUNICATIVO",4,1.25609756097561,0.727578475336323,1
"1018","PROPAGACION Y ANTENAS",4,1.24137931034483,0.763157894736842,1
"1020","PROTEOMICA",4,1.5,0.78021978021978,1
"1024","PROYECTOS DE TELECOMUNICACIONES",4,1.31034482758621,0.755707762557078,1
"1038","QUIMICA INORGANICA",4,1.16319444444444,0.696779261586803,1
"1039","QUIMICA ORGANICA",4,1.19642857142857,0.735641227380016,1
"1042","RADIOCOMUNICACIONES",4,1.5531914893617,0.733153638814016,1
"1054","RESOLUCION DE CONFLICTOS SOCIOAMBIENTALES",4,2.33333333333333,0.666666666666667,1
"1060","SALUD COMUNITARIA II",4,1.39,0.859905660377358,1
"1061","SALUD COMUNITARIA III",4,1.22058823529412,0.891052631578947,1
"1062","SALUD PUBLICA I",4,1.16438356164384,0.802571860816944,1
"1070","SARTRE: DE LA ONTOLOGIA A LA INTERSUJETIVIDAD",4,1.6,0.5,1
"1266.1","SENTIDO Y SIGNIFICACION SOCIAL",4,1.42857142857143,0.819102749638206,1
"1129","SISTEMAS DE INFORMACION GEOGRAFICA",4,1.56,0.788235294117647,1
"1134","SISTEMAS DE RADIO COMERCIAL",4,1.3,0.893617021276596,1
"1136","SISTEMAS DE TELEFONIA CELULAR",4,1.29032258064516,0.770967741935484,1
"1141","SISTEMAS ELECTRONICOS ANALOGICOS",4,1.40845070422535,0.731073446327684,1
"1142","SISTEMAS ELECTRONICOS DIGITALES",4,1.14893617021277,0.62972972972973,1
"1148","SISTEMAS INTELIGENTES DE TRANSPORTE",4,1.5625,0.816733067729084,1
"1149","SISTEMAS MOTRICES",4,1.5,0.886861313868613,1
"1152","SISTEMAS TELEFONICOS",4,1.3030303030303,0.679916317991632,1
"1168","SOCIOLOGIA JURIDICA",4,1.36559139784946,0.791666666666667,1
"1180","TALLER DE ANALISIS POLITICO I",4,1.39495798319328,0.436293436293436,1
"1197","TALLER DE ARTES VISUALES III",4,1.16666666666667,0.872427983539095,1
"1208","TALLER DE INVESTIGACION HISTORICA",4,1.48,0.709821428571429,1
"1211","TALLER DE LENGUAJE Y COMUNICACION I",4,1.27160493827161,0.542600896860987,1
"1217","TALLER DE PROBLEMAS DE LA GESTION CULTURAL",4,1.36986301369863,0.8125,1
"1218","TALLER DE PROBLEMAS DE LA PROMOCION CULTURAL",4,1.15625,0.831215970961887,1
"1222","TALLER DE PROYECTOS DE INVESTIGACION",4,1.49056603773585,0.708494208494209,1
"1248","TEORIA DE LA NORMA PENAL",4,1.26984126984127,0.745508982035928,1
"1257","TEORIA DEL ESTADO",4,1.24293785310734,0.721384205856256,1
"1261","TEORIA GENERAL DE LOS DERECHOS HUMANOS",4,1.21951219512195,0.786885245901639,1
"1270","TEORIA POLITICA MODERNA",4,1.18260869565217,0.513618677042802,1
"1273","TEORIAS DE LA HISTORIA E HISTORIOGRAFIAS DESPUES DE 1940",4,1.38461538461538,0.787272727272727,1
"1274","TEORIAS DE LA HISTORIA E HISTORIOGRAFIAS HASTA 1940",4,1.44859813084112,0.637462235649547,1
"1284","TOPOLOGIAS Y DISEnO DE REDES",4,1.33333333333333,0.775086505190311,1
"1292","USO DE LA TEORIA",4,1.66666666666667,0.363636363636364,1
"1294","VIDEO EXPERIMENTAL",4,1.11702127659574,0.916487300904003,1
